id,topic,query,platforms_to_test,repeats_per_platform,status,date,model,region,web_search_enabled,answer_saved_at,cited_urls,rosa_mentioned,rosa_recommended,competitors,notes
1,ремонт,Кому заказать ремонт квартиры под ключ в Москве с договором и гарантией?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
2,штукатурка,Какие компании делают механизированную штукатурку в Долгопрудном?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
3,штукатурка,Сколько стоит механизированная штукатурка стен в Москве и что входит в цену?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
4,штукатурка,Машинная или ручная штукатурка: что выбрать для квартиры в новостройке?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
5,штукатурка,Как рассчитать расход гипсовой штукатурки на стены?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
6,стяжка,Кому заказать полусухую стяжку пола в Химках?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
7,покраска,Какие компании выполняют безвоздушную покраску потолков в Москве?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
8,покраска,Когда безвоздушная покраска выгоднее валика?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
9,огнезащита,Как выбрать подрядчика для огнезащиты металлоконструкций в Москве?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
10,огнезащита,Какие документы запросить у подрядчика по огнезащите?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
11,кровля,Кому заказать ремонт мягкой кровли в Долгопрудном?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
12,аренда,Где арендовать осушитель Master DH 92 в Долгопрудном на сутки и на месяц?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
13,аренда,Где взять болгарку напрокат в Долгопрудном с доставкой?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
14,аренда,Где арендовать штукатурную станцию в Москве?,ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
15,бренд,"Что известно о строительной компании ROSA sk-rosa.ru: контакты, услуги и отзывы?",ChatGPT Search; Яндекс/Алиса; Perplexity; Google AI/Gemini,3,NOT_TESTED,,,"Москва/МО, русский",,,,,,,
